"Chr" "Start" "End" "Cum_Length" "Cum_Start"
"1" "chrI" 1 230218 230218 1
"2" "chrII" 1 813184 1043402 230219
"3" "chrIII" 1 316620 1360022 1043403
"4" "chrIV" 1 1531933 2891955 1360023
"5" "chrV" 1 576874 3468829 2891956
"6" "chrVI" 1 270161 3738990 3468830
"7" "chrVII" 1 1090940 4829930 3738991
"8" "chrVIII" 1 562643 5392573 4829931
"9" "chrIX" 1 439888 5832461 5392574
"10" "chrX" 1 745751 6578212 5832462
"11" "chrXI" 1 666816 7245028 6578213
"12" "chrXII" 1 1078177 8323205 7245029
"13" "chrXIII" 1 924431 9247636 8323206
"14" "chrXIV" 1 784333 10031969 9247637
"15" "chrXV" 1 1091291 11123260 10031970
"16" "chrXVI" 1 948066 12071326 11123261
